122.11.160.96 - - [22/Nov/2018:00:47:59 +0800] "GET / HTTP/1.0" 200 11398
202.62.37.153 - - [22/Nov/2018:01:18:35 +0800] "GET / HTTP/1.1" 200 11418
201.1.185.222 - - [22/Nov/2018:02:42:56 +0800] "GET / HTTP/1.1" 200 11418
46.174.191.31 - - [22/Nov/2018:02:43:29 +0800] "GET / HTTP/1.0" 200 11398
117.184.186.114 - - [22/Nov/2018:02:53:45 +0800] "GET /gdjk/login.do HTTP/1.1" 200 3995
117.184.186.114 - - [22/Nov/2018:02:53:45 +0800] "GET /gdjk/train/css/login.css HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:53:45 +0800] "GET /gdjk/authCode.do HTTP/1.1" 200 1674
117.184.186.114 - - [22/Nov/2018:02:53:45 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:53:45 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:53:45 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:53:46 +0800] "GET /gdjk/train/images/user-icon.jpg HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:53:46 +0800] "GET /gdjk/train/images/mima-icon.jpg HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:53:46 +0800] "GET /gdjk/train/images/yzmz-icon.jpg HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:53:46 +0800] "GET /gdjk/train/images/fav.ico HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:02 +0800] "POST /gdjk/login.do HTTP/1.1" 200 9035
117.184.186.114 - - [22/Nov/2018:02:54:02 +0800] "GET /gdjk/train/easyui/easyui.css HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:02 +0800] "GET /gdjk/train/css/main.css HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:02 +0800] "GET /gdjk/train/css/icon.css HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:02 +0800] "GET /gdjk/train/easyui/jquery.min.js HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:02 +0800] "GET /gdjk/train/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:02 +0800] "GET /gdjk/train/easyui/datagrid-groupview.js HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:02 +0800] "GET /gdjk/train/easyui/easyui-lang-zh_CN.js HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/anno.do?_=1542797561488 HTTP/1.1" 200 1812
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/sys/getMenuTree2.do? HTTP/1.1" 200 5123
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/easyui/images/layout_arrows.png HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/easyui/images/blank.gif HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/images/top_bg1.jpg HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/easyui/images/panel_tools.png HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/images/user.png HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/easyui/images/tabs_icons.png HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/easyui/images/loading.gif HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/css/icons/reload.png HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1542797561489 HTTP/1.1" 200 1824
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/easyui/images/accordion_arrows.png HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/easyui/images/tree_icons.png HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/css/ext_icons/shebei.png HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/css/ext_icons/biaoding.png HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/css/ext_icons/weixiu.png HTTP/1.1" 304 -
117.184.186.114 - - [22/Nov/2018:02:54:03 +0800] "GET /gdjk/train/css/ext_icons/canshu.png HTTP/1.1" 304 -
